Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hanna, Mark G.",HITO 87 - Freshman Seminar (A),FA13,17,13,100.0 %,100.0 %,3,A (4.00),N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (B),FA13,14,10,100.0 %,100.0 %,0.7,A (4.00),N/A
"Monteon, Michael P.",HITO 87 - Freshman Seminar (C),FA13,15,11,54.5 %,72.7 %,2.32,N/A,N/A
"Fuste, Jose Ignacio",HIUS 160 - Colloq. on the American Empire (A),FA13,13,6,100.0 %,83.3 %,5.83,A (4.00),N/A
"Molina, Natalia Margarita",HIUS 181 - Topics in 20th Century U.S. (B),FA13,2,2,100.0 %,100.0 %,13.5,A (4.00),N/A
"Reynolds, Edward",HIAF 112 - West Africa Since 1880 (A),S213,10,2,100.0 %,100.0 %,3.5,B+ (3.50),N/A
"Reynolds, Edward",HIAF 130 - African Society/Slave Trade (A),S213,11,2,100.0 %,100.0 %,7.5,A (4.00),N/A
"Davis, Andrea R",HIEU 151 - Spain Since 1808 (A),S213,16,13,91.7 %,100.0 %,5.5,B+ (3.55),N/A
"Egan, Nancy",HILA 112 - Econ & Soc Hist/Andean Region (A),S213,16,7,100.0 %,100.0 %,4.5,A- (3.71),N/A
"Hineline, Mark Lawrence",HISC 105 - History of Environmentalism (A),S213,14,2,100.0 %,100.0 %,2.5,A (4.00),N/A
"Golan, Tal","HISC 131 - Science, Technology, & Law (A)",S213,15,3,100.0 %,100.0 %,5.17,A (4.00),N/A
"Patterson, Patrick H.",HITO 134 - Internatnl Law/War Crimes&Geno (A),S213,11,9,100.0 %,100.0 %,12.72,A- (3.89),N/A
"Parrish, Michael E.",HIUS 144 - Topics in U.S. History (A),S213,12,4,100.0 %,75.0 %,5.5,B+ (3.50),N/A
"Reynolds, Edward",HIAF 111 - Modern Africa Since 1880 (A),S113,16,6,80.0 %,100.0 %,3.7,A- (3.75),N/A
"Reynolds, Edward",HIAF 120 - History of South Africa (A),S113,10,2,100.0 %,100.0 %,5.5,B+ (3.50),N/A
"Gallant, Thomas W.",HIEU 117GS - Tradtl Greek Society:Ethnogrph (A),S113,15,4,100.0 %,100.0 %,2.5,A (4.00),N/A
"Patterson, Patrick H.",HIEU 118 - Americanization in Europe (A),S113,4,4,100.0 %,100.0 %,17.5,A (4.00),N/A
"Skiles, William Stewart",HIEU 143 - Europn Intellct Hst(1870-1945) (A),S113,14,6,83.3 %,83.3 %,7.17,A- (3.75),N/A
"Patterson, Patrick H.",HIEU 152 - Everyday Life/Dictatorial Soc (A),S113,6,5,100.0 %,100.0 %,12.5,A (4.00),N/A
"Monteon, Michael P.",HILA 118 - US Agression/Latin Am 1898-Prs (A),S113,4,3,66.7 %,66.7 %,7.83,B+ (3.33),N/A
"Shrader, James H",HILA 122 - Cuba:Frm Colony-Socialist Repb (A),S113,9,3,100.0 %,100.0 %,6.5,B+ (3.33),N/A
"McGovern, William Patrick",HILD 2B - United States History (A),S113,9,3,66.7 %,66.7 %,1.17,B+ (3.50),N/A
"Edwards, Cutler C",HILD 2C - United States History (A),S113,11,4,100.0 %,100.0 %,5,A (4.00),N/A
"Clements, Philip W",HISC 106 - The Scientific Revolution (A),S113,11,3,100.0 %,100.0 %,9.83,B+ (3.50),N/A
"Hineline, Mark Lawrence",HIUS 154 - Western Environmental History (A),S113,15,3,66.7 %,100.0 %,3.17,A (4.00),N/A
"Lu, Weijing",HIEA 164 - Sem/Late Imperial Chinese Hist (A),SP13,7,3,66.7 %,66.7 %,10.5,B (3.00),N/A
"Watts, Edward J.",HIEU 161 - Topics in Roman History (A),SP13,9,2,100.0 %,100.0 %,6.5,A (4.00),N/A
"Caciola, Nancy A",HIEU 163 - Special Topics/Medievl History (A),SP13,9,3,100.0 %,100.0 %,9.83,A (4.00),N/A
"Marino, John A.",No CAPEs submitted,SP13,1,0,N/A,N/A,N/A,N/A,N/A
"Strom, Megan C.",HILA 102 - Latin America/Twentieth Centry (A),SP13,15,5,80.0 %,80.0 %,7.7,B+ (3.60),N/A
"Murillo, Dana V.","HILA 117 - Indns,Blcks,Whits:FamlyRelatns (A)",SP13,12,4,100.0 %,100.0 %,7.5,B+ (3.33),N/A
"Murillo, Dana V.",HILA 161 - History/Women in Latin America (A),SP13,7,4,100.0 %,100.0 %,7,B+ (3.67),N/A
"Goodblatt, David",HINE 170 - Special Tops/Jewish History (A),SP13,5,1,0.0 %,100.0 %,8.5,B (3.00),N/A
"Westman, Robert S",HISC 144 - Topics in Science Studies (A),SP13,19,6,83.3 %,83.3 %,3.83,B (3.25),N/A
"Oreskes, Naomi",HISC 170 - Topics/History of Sci & Tech (A),SP13,2,1,100.0 %,100.0 %,10.5,A (4.00),N/A
"Kernell, Samuel H.",No CAPEs submitted,SP13,3,0,N/A,N/A,N/A,N/A,N/A
"Golan, Tal",HITO 87 - Freshman Seminar (A),SP13,14,6,100.0 %,83.3 %,0.83,A (4.00),N/A
"Propp, William Henry",HITO 87 - Freshman Seminar (B),SP13,10,4,75.0 %,100.0 %,2.5,N/A,N/A
"Hendrickson, Gerald M.",HITO 87 - Freshman Seminar (C),SP13,10,4,100.0 %,100.0 %,3,N/A,N/A
"Alvarez, Luis A",HIUS 167 - Topics/Mexican-American Hist (A),SP13,12,4,100.0 %,100.0 %,10,A- (3.75),N/A
"Gutierrez, David G",HIUS 167 - Topics/Mexican-American Hist (A),SP13,12,3,100.0 %,100.0 %,10.5,B+ (3.67),N/A
"Hanna, Mark G.","HIUS 178 - The Atlantic World, 1400-1800 (A)",SP13,18,5,100.0 %,100.0 %,11.7,A (4.00),N/A
"Hendrickson, Gerald M.",HIUS 186 - Topics in U.S. Economic Histry (A),SP13,12,8,87.5 %,100.0 %,10.75,B (3.14),N/A
"Cahill, Suzanne",HIEA 168 - T/Classical&Medieval Chinese H (A),WI13,6,2,100.0 %,100.0 %,6.5,B+ (3.50),N/A
"Caciola, Nancy A",HIEU 111 - Europe in the Middle Ages (A),WI13,15,6,100.0 %,100.0 %,5.5,B+ (3.50),N/A
"Hughes, Judith M.",HIEU 141 - Eur Diplomatic Hist 1870-1945 (A),WI13,15,7,66.7 %,66.7 %,5.17,B (3.00),N/A
"Sage, Michael",HIEU 160 - Topics/History of Greece (A),WI13,14,3,100.0 %,100.0 %,3.83,A (4.00),N/A
"Edelman, Robert S.",HIEU 178 - Soviet History (A),WI13,9,3,100.0 %,100.0 %,9.83,B+ (3.33),N/A
"Gallant, Thomas W.",HIEU 183 - Social Hist/Mediterranean (A),WI13,12,5,100.0 %,100.0 %,10.9,A- (3.80),N/A
"Patterson, Patrick H.",No CAPEs submitted,WI13,1,0,N/A,N/A,N/A,N/A,N/A
"Murillo, Dana V.",HILA 100 - LatAmer-Colonial Transformatns (A),WI13,13,4,100.0 %,100.0 %,11,A- (3.75),N/A
"Goodblatt, David",HINE 103 - The Jewish Diaspora/Antiquity (A),WI13,15,7,85.7 %,85.7 %,2.21,A- (3.86),N/A
"Propp, William Henry",HINE 162 - Anthropolgy & the Hebrew Bible (A),WI13,6,2,100.0 %,100.0 %,5.5,A (4.00),N/A
"Meade, Everard",HITO 119 - Human Rights I: Hist. & Theory (A),WI13,15,6,100.0 %,100.0 %,5.3,B- (2.80),N/A
"Kernell, Samuel H.",No CAPEs submitted,WI13,1,0,N/A,N/A,N/A,N/A,N/A
"Golan, Tal",HITO 87 - Freshman Seminar (A),WI13,14,6,83.3 %,83.3 %,1.5,A (4.00),N/A
"Gutierrez, David G",HIUS 113 - History of Mexican America (A),WI13,17,8,100.0 %,100.0 %,4.5,A (4.00),N/A
"Molina, Natalia Margarita",HIUS 129 - Race/Ethnicity-American Cities (A),WI13,4,3,100.0 %,100.0 %,9.17,B+ (3.33),N/A
"Parrish, Michael E.",HIUS 181 - Topics in 20th Century U.S. (A),WI13,15,8,87.5 %,100.0 %,4,B+ (3.38),N/A
"Graham, Jessica Lynn",HIUS 183 - Topics/African American Hist. (A),WI13,10,6,100.0 %,100.0 %,8.5,B (3.20),N/A
"Cahill, Suzanne",HIEA 168 - T/Classical&Medieval Chinese H (A),FA12,8,3,66.7 %,100.0 %,3.83,B (3.00),N/A
"Lu, Weijing",HIEA 171 - Society & Culture/Premod China (A),FA12,13,3,100.0 %,100.0 %,6.5,A (4.00),N/A
"Hughes, Judith M.",HIEU 136B - Society/Soc Thought 1870-1989 (A),FA12,13,4,75.0 %,50.0 %,8,B+ (3.67),N/A
"Monteon, Michael P.",HILA 114D - Dictatorship in Latin America (A),FA12,19,5,100.0 %,100.0 %,4,A (4.00),N/A
"Kayali, Hasan",HINE 186 - Topics/Middle Eastern History (A),FA12,14,5,100.0 %,100.0 %,6,B+ (3.50),N/A
"Goodblatt, David",HITO 104 - Jews & Judaism/Ancient&Medievl (A),FA12,18,9,62.5 %,87.5 %,2.21,B+ (3.63),N/A
"Hughes, Judith M.",HITO 172 - War in the 20th Century (A),FA12,9,4,100.0 %,100.0 %,5,B+ (3.67),N/A
"Kernell, Samuel H.",No CAPEs submitted,FA12,2,0,N/A,N/A,N/A,N/A,N/A
"Jordan, Ryan P",No CAPEs submitted,FA12,14,0,N/A,N/A,N/A,N/A,N/A
"Hanna, Mark G.",HITO 87 - Freshman Seminar (A),FA12,11,8,100.0 %,100.0 %,2.79,B (3.00),N/A
"Widener, Daniel",HITO 87 - Freshman Seminar (B),FA12,20,13,90.9 %,100.0 %,0.86,A (4.00),N/A
"Widener, Daniel",HITO 87 - Freshman Seminar (D),FA12,17,10,88.9 %,88.9 %,2.25,A (4.00),N/A
"Weeks, William E","HIUS 106A - Amer Foreign Relations,to 1900 (A)",FA12,12,4,100.0 %,100.0 %,7.5,A- (3.75),N/A
"Gutierrez, David G",HIUS 180 - Immigration&Ethnicity/Amer Soc (A),FA12,11,6,100.0 %,100.0 %,7.83,B+ (3.50),N/A
"Patterson, Patrick H.",HIEU 152 - Everyday Life/Dictatorial Soc (A),S212,13,10,100.0 %,100.0 %,9.5,B+ (3.50),N/A
"Lettieri, Michael J",HILA 102 - Latin America/Twentieth Centry (A),S212,10,9,100.0 %,100.0 %,6.06,B (3.00),N/A
"Riggs, Miriam E","HILA 115 - Latin American City, A History (A)",S212,5,3,100.0 %,100.0 %,7.83,B+ (3.50),N/A
"Patterson, Patrick H.",HITO 134 - Internatnl Law/War Crimes&Geno (A),S212,15,14,100.0 %,100.0 %,11.12,B+ (3.31),N/A
"Pastrana, Israel",HIUS 114 - California History (A),S212,15,7,100.0 %,71.4 %,10.21,A- (3.71),N/A
"Vandevelde, Kenneth Joseph",HIUS 152A - Constitutional Hist/US to 1865 (A),S212,17,7,100.0 %,100.0 %,5.64,B+ (3.67),N/A
"Parrish, Michael E.",HIUS 153 - American Political Trials (A),S212,11,4,100.0 %,100.0 %,5.5,A- (3.75),N/A
"Reynolds, Edward",HIAF 111 - Modern Africa Since 1880 (A),S112,10,1,100.0 %,100.0 %,8.5,B (3.00),N/A
"Reynolds, Edward",HIAF 120 - History of South Africa (A),S112,17,6,100.0 %,100.0 %,4.5,A- (3.80),N/A
"Hillman, Susanne",HIEU 143 - Europn Intellct Hst(1870-1945) (A),S112,12,1,100.0 %,100.0 %,12.5,B (3.00),N/A
"Saenz, Charles N",HIEU 151 - Spain Since 1808 (A),S112,13,13,92.3 %,100.0 %,6.81,A- (3.80),N/A
"Monteon, Michael P.",HILA 114 - Dictatorship in Latin America (A),S112,14,3,66.7 %,100.0 %,7.17,B+ (3.33),N/A
"Sine, Elizabeth E",HILD 2C - United States History (A),S112,17,6,100.0 %,83.3 %,9.5,B+ (3.33),N/A
"Hineline, Mark Lawrence",HISC 105 - History of Environmentalism (A),S112,16,8,87.5 %,87.5 %,4.25,B+ (3.50),N/A
"Ratterree, Alicia M",HIUS 115 - Hist. of Sexuality in the U.S. (A),S112,14,8,87.5 %,87.5 %,6,B+ (3.60),N/A
"Reyes, Barbara Olivia",HIUS 158 - Social & Econ Hist/Southwest I (A),S112,7,4,100.0 %,100.0 %,6.5,B+ (3.50),N/A
"Reyes, Barbara Olivia",HIUS 158 - Social & Econ Hist/Southwest I (A),S112,5,2,100.0 %,100.0 %,9.5,B+ (3.50),N/A
"Ruiz, Stevie R",HIUS 159 - Social&Econ Hist/Southwest II (A),S112,2,2,100.0 %,100.0 %,3.5,A (4.00),N/A
"Ruiz, Stevie R",HIUS 159 - Social&Econ Hist/Southwest II (A),S112,3,2,100.0 %,100.0 %,4.5,A (4.00),N/A
"Cahill, Suzanne",HIEA 168 - T/Classical&Medieval Chinese H (A),SP12,16,7,42.9 %,85.7 %,9.93,B+ (3.33),N/A
"Sage, Michael",HIEU 160 - Topics/History of Greece (A),SP12,10,2,100.0 %,100.0 %,5.5,B+ (3.50),N/A
"Caciola, Nancy A",HIEU 163 - Special Topics/Medievl History (A),SP12,15,7,100.0 %,100.0 %,7.36,B (3.29),N/A
"Stephenson, Paul Anthony",HIEU 163 - Special Topics/Medievl History (B),SP12,7,4,100.0 %,100.0 %,12.5,A- (3.75),N/A
"Van Young, Eric",HILA 162 - Special Topics/Latin Amer Hist (A),SP12,9,2,100.0 %,100.0 %,11.5,B+ (3.50),N/A
"Monteon, Michael P.",HILA 163 - History of Chile:1880-Present (A),SP12,6,1,100.0 %,100.0 %,2.5,A (4.00),N/A
"Clark, William",HISC 166 - The Galileo Affair (A),SP12,8,3,100.0 %,100.0 %,8.5,A (4.00),N/A
"Gere, Catherina M.",HISC 173 - Darwin & Darwinisms (A),SP12,16,9,88.9 %,100.0 %,9.39,B+ (3.33),N/A
"Meade, Everard",HITO 166 - Sem/Death Penalty Global Pers (A),SP12,14,5,100.0 %,100.0 %,9.3,A (4.00),N/A
"Biess, Frank Peter",HITO 168 - U.S. and Germany 1890s-1960s (A),SP12,12,5,100.0 %,100.0 %,7.3,B+ (3.60),N/A
"Plant, Rebecca Jo",HITO 168 - U.S. and Germany 1890s-1960s (A),SP12,12,5,100.0 %,100.0 %,7.3,B+ (3.60),N/A
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),SP12,11,5,60.0 %,60.0 %,4.1,A (4.00),N/A
"Golan, Tal",HITO 87 - Freshman Seminar (A),SP12,8,6,100.0 %,100.0 %,0.83,N/A,N/A
"Diner, Hasia R.",HIUS 144 - Topics in U.S. History (A),SP12,10,3,100.0 %,0.0 %,7.83,B (3.00),N/A
"Parrish, Michael E.",HIUS 169 - Topic/Amer Legal & Const Hist (A),SP12,12,3,100.0 %,100.0 %,12.5,B+ (3.33),N/A
"Shah, Nayan B",HIUS 176 - Race & Sexual Politics (A),SP12,8,2,100.0 %,100.0 %,10.5,B+ (3.50),N/A
"Molina, Natalia Margarita",HIUS 181 - Topics in 20th Century U.S. (A),SP12,7,1,100.0 %,100.0 %,8.5,A (4.00),N/A
"Schneewind, Sarah",HIEA 129 - Faces of the Chinese Past (A),WI12,13,10,90.0 %,90.0 %,10.1,B+ (3.44),N/A
"Patterson, Patrick H.",HIEU 152 - Everyday Life/Dictatorial Soc (A),WI12,13,7,100.0 %,83.3 %,9.64,A- (3.71),N/A
"Kayali, Hasan",HINE 186 - Topics/Middle Eastern History (A),WI12,15,8,100.0 %,100.0 %,7.5,A- (3.88),N/A
"Golan, Tal",HISC 180 - Science and Public Policy (A),WI12,9,5,80.0 %,80.0 %,8.1,A- (3.75),N/A
"Biess, Frank Peter",HITO 140 - History of Emotions (A),WI12,12,6,83.3 %,80.0 %,7.17,B+ (3.67),N/A
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),WI12,16,3,66.7 %,100.0 %,8.5,A (4.00),N/A
"Patterson, Patrick H.",HITO 87 - Freshman Seminar (A),WI12,11,7,85.7 %,85.7 %,3.83,A (4.00),N/A
"Patterson, Patrick H.",HITO 87 - Freshman Seminar (B),WI12,7,6,100.0 %,100.0 %,3.5,N/A,N/A
"Golan, Tal",HITO 87 - Freshman Seminar (C),WI12,16,11,90.9 %,90.9 %,1.05,N/A,N/A
"Hendrickson, Gerald M.",HITO 87 - Freshman Seminar (D),WI12,11,6,100.0 %,100.0 %,1.5,N/A,N/A
"Molina, Natalia Margarita",HIUS 144 - Topics in U.S. History (A),WI12,16,11,100.0 %,100.0 %,6.72,A- (3.80),N/A
"Hanna, Mark G.","HIUS 178 - The Atlantic World, 1400-1800 (A)",WI12,18,12,100.0 %,100.0 %,8,B+ (3.58),N/A
"Zhang, Ting",HIEA 164 - Sem/Late Imperial Chinese Hist (A),FA11,10,6,100.0 %,100.0 %,14.17,A- (3.83),N/A
"Hughes, Judith M.",HIEU 174 - The Holocaust:Psychol Approach (01),FA11,16,5,80.0 %,60.0 %,4.5,B+ (3.60),N/A
"Kernell, Samuel H.",HITO 193 - Research Seminar/Washington DC (A),FA11,18,4,100.0 %,100.0 %,3.5,B+ (3.50),N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (B),FA11,10,7,100.0 %,100.0 %,3.07,A (4.00),N/A
"Gutierrez, David G",HIUS 180 - Immigration&Ethnicity/Amer Soc (A),FA11,17,9,88.9 %,100.0 %,8.5,B- (2.89),N/A
"Gutierrez, David G",HIUS 180 - Immigration&Ethnicity/Amer Soc (A),FA11,2,1,100.0 %,100.0 %,14.5,B (3.00),N/A
"Hendrickson, Gerald M.",HIUS 186 - Topics in U.S. Economic Histry (A),FA11,14,6,100.0 %,100.0 %,9.83,A- (3.83),N/A
"Patterson, Patrick H.",HIEU 118 - Americanization in Europe (A),S211,14,10,100.0 %,100.0 %,16.5,B+ (3.63),N/A
"Riggs, Miriam E",HILA 102 - Latin America/Twentieth Centry (A),S211,19,10,100.0 %,100.0 %,10.5,B+ (3.43),N/A
"Patterson, Patrick H.",HITO 134 - Internatnl Law/War Crimes&Geno (A),S211,18,8,100.0 %,100.0 %,14.25,B+ (3.63),N/A
"Ratterree, Alicia M",HIUS 115 - Hist. of Sexuality in the U.S. (A),S211,15,4,100.0 %,100.0 %,5.5,B+ (3.50),N/A
"Wilson, Rai I.",HIUS 128 - African-American Legal History (A),S211,16,3,66.7 %,66.7 %,3.83,B (3.00),N/A
"Voyles, Traci Brynne",HIUS 159 - Social&Econ Hist/Southwest II (A),S211,16,7,100.0 %,100.0 %,7.93,A (4.00),N/A
"Voyles, Traci Brynne",HIUS 159 - Social&Econ Hist/Southwest II (A),S211,16,3,66.7 %,100.0 %,3.83,A (4.00),N/A
"Elinoff, Eli Asher",HMNR 101 - Human Rights II: Contemp Issue (A),S211,9,5,100.0 %,100.0 %,10.1,B+ (3.60),N/A
"Elinoff, Eli Asher",HMNR 101 - Human Rights II: Contemp Issue (A),S211,3,2,100.0 %,100.0 %,9.5,B+ (3.50),N/A
"Herbst, Matthew",HIEU 106GS - Constantinople: Imperial Captl (A),S111,18,10,100.0 %,100.0 %,10.7,A- (3.80),N/A
"Parrish, Michael E.",HIEU 121GS - Scotl/Engl Civil War 1601-1689 (A),S111,17,9,100.0 %,100.0 %,6.28,B+ (3.44),N/A
"Parrish, Michael E.",HIEU 123GS - Law/Rel Freedm/Eng/Am1530-1791 (A),S111,17,8,100.0 %,100.0 %,7,B+ (3.38),N/A
"Marino, John A.",HIEU 124GS - The City In Italy (A),S111,7,4,75.0 %,100.0 %,6.5,B+ (3.33),N/A
"Marino, John A.",HIEU 124GS - The City In Italy (A),S111,18,8,87.5 %,100.0 %,10.5,B+ (3.43),N/A
"Skiles, William Stewart",HIEU 142 - Euro Intellct Hist: 1780-1870 (A),S111,6,5,100.0 %,80.0 %,5.3,A- (3.75),N/A
"Patterson, Patrick H.",HIEU 152 - Everyday Life/Dictatorial Soc (A),S111,17,5,100.0 %,100.0 %,14.5,A (4.00),N/A
"Fagoaga Hernandez, Ricardo A.",HILA 100 - LatAmer-Colonial Transformatns (A),S111,14,8,100.0 %,75.0 %,8.25,B+ (3.57),N/A
"Monteon, Michael P.",HILA 120 - History of Argentina (A),S111,12,2,100.0 %,100.0 %,4.5,B+ (3.50),N/A
"Propp, William Henry",HINE 113 - Ancient Near Eastern Mythology (A),S111,9,6,66.7 %,83.3 %,5.83,B+ (3.50),N/A
"Westman, Robert S",HISC 144 - Topics in Science Studies (A),S111,9,4,100.0 %,100.0 %,7,B (3.25),N/A
"Morrill, Angela T",HIUS 108B - History/Native Americans/US II (A),S111,18,6,83.3 %,83.3 %,9.83,B+ (3.33),N/A
"Morrill, Angela T",HIUS 108B - History/Native Americans/US II (A),S111,13,2,100.0 %,50.0 %,5.5,C+ (2.50),N/A
"Reyes, Barbara Olivia",HIUS 144 - Topics in U.S. History (A),S111,6,3,100.0 %,100.0 %,5.83,B+ (3.67),N/A
"Widner, Daniel",HIUS 149 - United States in the 1960's (A),S111,16,4,75.0 %,75.0 %,5,B+ (3.50),N/A
"Reyes, Barbara Olivia",HIUS 158 - Social & Econ Hist/Southwest I (A),S111,4,1,100.0 %,100.0 %,6.5,B (3.00),N/A
"Reyes, Barbara Olivia",HIUS 158 - Social & Econ Hist/Southwest I (A),S111,4,3,100.0 %,100.0 %,3.83,B (3.00),N/A
"Patterson, Patrick H.",HIEU 157 - Relig & Law/Mod Euro History (A),SP11,14,7,85.7 %,100.0 %,9.64,A- (3.83),N/A
"Edelman, Robert S.",HIEU 178 - Soviet History (A),SP11,14,3,100.0 %,100.0 %,4.5,A (4.00),N/A
"Gallant, Thomas W.",HIEU 183 - Social Hist/Mediterranean (A),SP11,16,5,100.0 %,100.0 %,8.5,B+ (3.60),N/A
"Propp, William Henry",HINE 162 - Anthropolgy & the Hebrew Bible (A),SP11,16,16,100.0 %,100.0 %,4.75,B+ (3.36),N/A
"Goodblatt, David",HINE 170 - Special Tops/Jewish History (A),SP11,15,8,100.0 %,100.0 %,5.75,B+ (3.50),N/A
"Westman, Robert S",HISC 162 - Problms/Hist/Science &Religion (A),SP11,14,6,100.0 %,100.0 %,7.17,B (3.20),N/A
"Shah, Nayan B",HITO 165 - Topics-LGBT History (A),SP11,10,6,100.0 %,100.0 %,7.17,B+ (3.40),N/A
"Golan, Tal",HITO 87 - Freshman Seminar (A),SP11,9,6,100.0 %,100.0 %,1.5,B (3.00),N/A
"Widener, Daniel",HITO 87 - Freshman Seminar (C),SP11,11,6,100.0 %,100.0 %,0.5,N/A,N/A
"Lu, Weijing",HITO 87 - Freshman Seminar (E),SP11,15,9,88.9 %,88.9 %,0.94,N/A,N/A
"Gutierrez, David G",HIUS 167 - Topics/Mexican-American Hist (A),SP11,19,12,100.0 %,100.0 %,7.83,B (3.27),N/A
"Hanna, Mark G.","HIUS 178 - The Atlantic World, 1400-1800 (A)",SP11,15,12,100.0 %,100.0 %,6.67,A- (3.83),N/A
"Molina, Natalia Margarita",HIUS 181 - Topics in 20th Century U.S. (A),SP11,12,6,83.3 %,83.3 %,6.83,B+ (3.33),N/A
"Propp, William Henry",HINE 112AL - Great Stories Hebrew Bible/FL (A),WI11,2,2,100.0 %,100.0 %,1.5,N/A,N/A
"Westman, Robert S",HISC 166 - The Galileo Affair (A),WI11,14,6,100.0 %,100.0 %,7.83,B+ (3.60),N/A
"Hanna, Mark G.",HITO 87 - Freshman Seminar (A),WI11,13,9,77.8 %,88.9 %,2.72,A (4.00),N/A
"Schneewind, Sarah",HITO 87 - Freshman Seminar (B),WI11,10,5,100.0 %,100.0 %,1.7,A (4.00),N/A
"Molina, Natalia Margarita",HIUS 162 - The American West (A),WI11,11,7,83.3 %,83.3 %,9.07,B+ (3.67),N/A
"Klein, Rachel",HIUS 188 - Topics in Culture & Politics (A),WI11,16,11,100.0 %,100.0 %,9.59,B+ (3.64),N/A
"Schneewind, Sarah",HIEA 166 - Creating Ming Histories (A),FA10,6,2,100.0 %,100.0 %,5.5,B (3.00),N/A
"Lu, Weijing",HIEA 171 - Society & Culture/Premod China (A),FA10,11,4,100.0 %,100.0 %,7.5,B+ (3.67),N/A
"Owzar, Armin",HIEU 171 - Topic/Twentieth Century Europe (A),FA10,16,6,100.0 %,100.0 %,4.5,B+ (3.67),N/A
"Bridges, Amy",HITO 193 - Research Seminar/Washington DC (A),FA10,29,4,100.0 %,100.0 %,4.5,N/A,N/A
"Meade, Everard",HITO 87 - Freshman Seminar (A),FA10,12,7,100.0 %,100.0 %,4.21,N/A,N/A
"Gutierrez, David G",HIUS 180 - Immigration&Ethnicity/Amer Soc (A),FA10,14,8,100.0 %,100.0 %,8,B (3.00),N/A
"Plant, Rebecca Jo",HIUS 181 - Topics in 20th Century U.S. (A),FA10,6,3,66.7 %,100.0 %,3.17,B+ (3.50),N/A
"Hendrickson, Gerald M.",HIUS 181 - Topics in 20th Century U.S. (B),FA10,11,4,100.0 %,100.0 %,9.5,B+ (3.33),N/A
"Reynolds, Edward",HIAF 111 - Modern Africa Since 1880 (A),SU10,20,4,75.0 %,75.0 %,6.5,B+ (3.67),N/A
"Reynolds, Edward",HIAF 123 - W Africa/Earliest Times - 1800 (A),SU10,10,1,100.0 %,100.0 %,4.5,A (4.00),N/A
"Tanaka, Stefan A.",HIEA 117 - Ghosts in Japan (A),SU10,34,12,83.3 %,83.3 %,4.86,B (3.25),N/A
"Cahill, Suzanne",HIEA 126 - The Silk Road (A),SU10,54,18,100.0 %,100.0 %,6.94,B+ (3.41),N/A
"Pickowicz, Paul G.",HIEA 131 - China/War & Revolution 1911-49 (A),SU10,36,19,94.7 %,100.0 %,7.87,B (3.25),N/A
"Cahill, Suzanne",HIEA 136 - Thought/Reli China: Daoism (A),SU10,36,13,84.6 %,92.3 %,4.65,B+ (3.58),N/A
"Cahill, Suzanne",HIEA 137 - Women & Family/Chinese History (A),SU10,56,19,78.9 %,84.2 %,4.61,B+ (3.41),N/A
"Herbst, Matthew",HIEU 106GS - Constantinople: Imperial Captl (A),SU10,18,3,100.0 %,100.0 %,9.17,B+ (3.67),N/A
"Miano, David Ringo",HIEU 108S - Sex & Romance/ Ancient World (A),SU10,52,19,100.0 %,94.7 %,5.03,A- (3.71),N/A
"Gallant, Thomas W.",HIEU 114GS - Athens: A City in History (A),SU10,27,13,100.0 %,100.0 %,6.04,A- (3.92),N/A
"Patterson, Patrick H.",HIEU 118 - Americanization in Europe (A),SU10,19,8,100.0 %,100.0 %,9,A- (3.75),N/A
"Marino, John A.",HIEU 124GS - The City In Italy (A),SU10,26,15,100.0 %,93.3 %,6.77,B+ (3.47),N/A
"Hillman, Susanne",HIEU 143 - Europn Intellct Hst(1870-1945) (A),SU10,19,8,87.5 %,87.5 %,6.5,B+ (3.50),N/A
"Patterson, Patrick H.",HIEU 152 - Everyday Life/Dictatorial Soc (A),SU10,16,8,100.0 %,100.0 %,13.5,A- (3.75),N/A
"Patterson, Patrick H.",HIEU 157 - Relig & Law/Mod Euro History (A),SU10,13,5,100.0 %,100.0 %,14.9,A- (3.80),N/A
"Fagoaga Hernandez, Ricardo A.",HILA 101 - Lat Amer Independnce 1810-1898 (A),SU10,17,5,100.0 %,100.0 %,7.5,B (3.00),N/A
"Perez, Jesus Mora",HILA 102 - Latin America/Twentieth Centry (A),SU10,20,7,100.0 %,50.0 %,7.83,B+ (3.50),N/A
"Mularski, Jedrek P",HILA 103 - Revolution/Modern Latin Americ (A),SU10,12,5,100.0 %,100.0 %,6.9,B+ (3.60),N/A
"Monteon, Michael P.","HILA 115 - Latin American City, A History (A)",SU10,15,4,75.0 %,75.0 %,6.5,B+ (3.50),N/A
"Monteon, Michael P.",HILD 14 - Film & History in Latin Amer (A),SU10,30,16,87.5 %,93.8 %,5.38,B+ (3.57),N/A
"Pye, David K.",HILD 2C - United States History (A),SU10,32,12,91.7 %,91.7 %,6.17,A- (3.75),N/A
"Ratterree, Alicia M",HILD 7B - Race & Ethnicity/United States (A),SU10,39,18,66.7 %,33.3 %,7.06,B (3.25),N/A
